"zcta","population","land_area_meter2","land_area_mile2","pop_density_mile2"
"00730",32735,16873937,6.51506349880931,5024.50973900448
"00731",13862,123629346,47.7335573497914,290.403665044683
"00735",12749,60368950,23.3085819039412,546.965922360308
"00736",48476,142702105,55.0975907690513,879.820684051203
"00738",31558,76345227,29.4770569391133,1070.59534692303
"00739",37380,81792975,31.5804442011086,1183.64389563234
"00740",1517,1103420,0.42603284377891,3560.75833624519
"00741",5168,6121388,2.36348112007585,2186.60515461792
"00745",52624,133673062,51.6114577771787,1019.61855499592
"00751",22174,121636224,46.964008643353,472.148793097933
"00754",38636,132164375,51.0289504699138,757.138832843121
"00757",22475,77265966,29.8325562544676,753.371578630117
"00765",8721,49309590,19.0385391358432,458.070860257407
"00766",23931,103701681,40.0394428785806,597.685638947841
"00767",35042,143501372,55.4061894830031,632.456415555338
"00769",39605,198169777,76.513778657576,517.619188267322
"00771",37705,87591124,33.8191220455594,1114.90179872812
"00772",20784,37904340,14.6349474921269,1420.16225279804
"00773",18952,62966802,24.3116181687151,779.544984150336
"00775",1480,27354047,10.5614565915716,140.13218604535
"00777",40611,68844364,26.5809575438821,1527.8230640471
"00778",46852,76776790,29.6436843449604,1580.50529262113
"00780",11679,52112380,20.1207024047844,580.446932967057
"00782",18196,69008752,26.6444281055206,682.919518029733
"00783",34240,108367775,41.8410318439426,818.335459022792
"00784",41417,143875300,55.5505638909426,745.572989705564
"00786",249,666251,0.257240949231066,967.964084817369
"00791",49551,95737500,36.9644554034578,1340.50399117647
"00794",29296,91419778,35.2973736192716,829.976765863538
"00795",45573,119806321,46.2574791451297,985.202843782685
"00901",6540,2535590,0.978996772178651,6680.30803150243
"00906",91,8247,0.00318418450149958,28578.7459731507
"00907",16819,3118632,1.20411054689956,13967.9866132781
"00909",5430,1580961,0.61041245467143,8895.62452149315
"00911",7617,1232508,0.475873999220838,16006.3378383176
"00912",5920,862970,0.333194579757378,17767.3958691368
"00913",8495,834840,0.322333526037579,26354.6895181161
"00915",27534,3616961,1.39651644946386,19716.2017035823
"00917",18316,3360010,1.29730711372422,14118.4765012347
"00918",16595,5516959,2.1301097784902,7790.67828690144
"00920",16698,7363192,2.8429443249625,5873.48821902105
"00921",35161,6925339,2.67388833653821,13149.7637801591
"00923",24754,5285548,2.04076149187973,12129.7859149622
"00924",51699,12146991,4.68997944489571,11023.2892505032
"00925",6796,1158082,0.447137959969158,15198.8885051691
"00926",99106,62578786,24.1618043535661,4101.76320235674
"00927",13503,6803686,2.62691785064505,5140.24448715985
"00934",25,1940428,0.749203439296209,33.3687736717875
"00936",749,417954,0.161372941571451,4641.42248822034
"00949",76058,45535083,17.5811938357096,4326.09984911927
"00950",0,6204979,2.39575578561057,0
"00951",0,1075640,0.415306925814601,0
"00952",8467,3204976,1.23744815167675,6842.30687849603
"00953",72608,69143779,26.6965623216821,2719.75092242607
"00956",68452,68564539,26.472916507368,2585.73701091636
"00957",40738,11967746,4.62077256348777,8816.274646777
"00959",47849,16618004,6.41624721506707,7457.47450123769
"00960",2454,2366331,0.913645506925914,2685.94326945997
"00961",31017,13404389,5.17546352684267,5993.08638523478
"00962",19864,9888762,3.81807235351256,5202.62534619741
